Company Name,Industry,Symbol,Series,ISIN Code
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
